player_id,full_name,team_name,position,gw_id,goals_scored,assists,clean_sheets,goals_conceded,expected_goals,expected_assists,expected_goals_conceded,total_points,season
413,Nick Pope,Newcastle,Goalkeeper,4,0,0,0,1,0.0,0.0,0.99,3,2024_2025
415,Fabian Schär,Newcastle,Defender,4,1,0,0,1,0.1,0.01,0.99,8,2024_2025
417,Sandro Tonali,Newcastle,Midfielder,4,0,0,0,0,0.44,0.03,0.37,1,2024_2025
418,Kieran Trippier,Newcastle,Defender,4,0,0,0,0,0.0,0.02,0.15,1,2024_2025
420,Joe Willock,Newcastle,Midfielder,4,0,1,0,0,0.08,0.09,0.37,4,2024_2025
421,Callum Wilson,Newcastle,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
422,Ola Aina,Nott'm Forest,Defender,4,0,0,1,0,0.0,0.01,0.94,8,2024_2025
423,Elliot Anderson,Nott'm Forest,Midfielder,4,0,0,1,0,0.0,0.01,0.74,3,2024_2025
424,Taiwo Awoniyi,Nott'm Forest,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
429,Danilo dos Santos de Oliveira,Nott'm Forest,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
431,Nicolás Domínguez,Nott'm Forest,Midfielder,4,0,0,0,0,0.0,0.01,0.74,1,2024_2025
432,Anthony Elanga,Nott'm Forest,Midfielder,4,0,1,0,0,0.23,0.0,0.2,3,2024_2025
433,Morgan Gibbs-White,Nott'm Forest,Midfielder,4,0,0,1,0,0.02,0.05,0.85,3,2024_2025
434,Callum Hudson-Odoi,Nott'm Forest,Midfielder,4,1,0,0,0,0.07,0.02,0.2,7,2024_2025
436,Murillo Santiago Costa dos Santos,Nott'm Forest,Defender,4,0,0,1,0,0.0,0.0,0.94,6,2024_2025
437,Neco Williams,Nott'm Forest,Defender,4,0,0,0,0,0.0,0.0,0.09,1,2024_2025
442,Ibrahim Sangaré,Nott'm Forest,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
443,Matz Sels,Nott'm Forest,Goalkeeper,4,0,0,1,0,0.0,0.0,0.94,9,2024_2025
447,Chris Wood,Nott'm Forest,Forward,4,0,0,1,0,0.13,0.01,0.85,2,2024_2025
449,Ryan Yates,Nott'm Forest,Midfielder,4,0,0,1,0,0.0,0.0,0.94,2,2024_2025
450,Carlos Alcaraz Durán,Crystal Palace,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
452,Joe Aribo,Sunderland,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
455,Jan Bednarek,Sunderland,Defender,4,0,0,0,3,0.0,0.0,2.67,1,2024_2025
457,James Bree,Sunderland,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
461,Taylor Harwood-Bellis,Sunderland,Defender,4,0,0,0,1,0.0,0.0,0.77,1,2024_2025
462,Kamaldeen Sulemana,Sunderland,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
467,Ryan Manning,Sunderland,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
470,Paul Onuachu,Sunderland,Forward,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
471,Will Smallbone,Sunderland,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
472,Jack Stephens,Sunderland,Defender,4,0,0,0,3,0.0,0.01,1.9,-2,2024_2025
473,Ross Stewart,Sunderland,Forward,4,0,0,0,1,0.0,0.0,0.82,1,2024_2025
474,Sugawara Yukinari,Sunderland,Defender,4,0,0,0,3,0.04,0.17,2.67,1,2024_2025
475,Charlie Taylor,Sunderland,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
477,Nathan Wood-Gordon,Sunderland,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
480,Rodrigo Bentancur,Spurs,Midfielder,4,0,0,0,1,0.0,0.04,0.73,1,2024_2025
482,Yves Bissouma,Spurs,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
484,Ben Davies,Spurs,Defender,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
489,Archie Gray,Spurs,Midfielder,4,0,0,0,0,0.0,0.0,0.0,0,2024_2025
491,Brennan Johnson,Spurs,Midfielder,4,0,0,0,1,0.27,0.07,0.73,2,2024_2025
