player_id,full_name,team_name,position,now_cost,most_recent_gameweek_played,average_points,average_points_l3,average_goals_scored,average_goals_scored_l3,average_assists,average_assists_l3,average_clean_sheets,average_clean_sheets_l3,average_goals_conceded,average_goals_conceded_l3,average_expected_goals,average_expected_goals_l3,average_expected_assists,average_expected_assists_l3,average_expected_goals_conceded,average_expected_goals_conceded_l3,avg_xg_and_xa_l3,now_cost_per_avg_l3_points,now_cost_per_avg_l3_xg_and_xa,now_cost_per_avg_l3_xg_conceded,season
283,Jean-Philippe Mateta,Crystal Palace,Forward,7.6,8.0,4.62,7.0,0.62,1.0,0.0,0.0,0.5,0.33,0.75,1.33,0.98,1.73,0.06,0.04,1.13,1.53,1.02,1.09,7.45,4.97,2025_2026
126,Mathias Jensen,Brentford,Midfielder,4.9,8.0,2.25,4.33,0.25,0.67,0.0,0.0,0.0,0.0,0.5,0.0,0.06,0.13,0.01,0.0,0.38,0.05,0.06,1.13,81.67,98.0,2025_2026
436,Matthijs de Ligt,Man Utd,Defender,5.0,8.0,3.5,4.33,0.0,0.0,0.0,0.0,0.12,0.33,1.5,1.33,0.11,0.19,0.06,0.0,1.59,1.83,0.11,1.15,45.45,2.73,2025_2026
205,Josh Cullen,Burnley,Midfielder,5.0,8.0,5.0,4.33,0.12,0.0,0.12,0.0,0.38,0.33,1.5,1.67,0.02,0.03,0.08,0.02,1.78,1.75,0.04,1.15,125.0,2.86,2025_2026
476,Dan Burn,Newcastle,Defender,5.1,8.0,5.62,4.33,0.0,0.0,0.12,0.33,0.62,0.33,0.88,1.33,0.01,0.0,0.02,0.02,0.74,1.08,0.03,1.18,170.0,4.72,2025_2026
430,Erling Haaland,Man City,Forward,14.7,8.0,10.38,12.33,1.38,1.67,0.12,0.33,0.62,0.67,0.62,0.33,1.08,0.81,0.07,0.09,1.0,0.68,1.1700000000000002,1.19,12.56,21.62,2025_2026
633,Hugo Bueno López,Wolves,Defender,4.4,8.0,2.25,3.67,0.0,0.0,0.0,0.0,0.12,0.33,1.0,1.0,0.02,0.03,0.13,0.17,0.84,0.82,0.19,1.2,23.16,5.37,2025_2026
47,Morgan Rogers,Aston Villa,Midfielder,6.8,8.0,3.62,5.67,0.12,0.33,0.25,0.67,0.25,0.0,1.0,1.0,0.06,0.09,0.08,0.05,1.32,0.7,0.11,1.2,61.82,9.71,2025_2026
1,David Raya Martín,Arsenal,Goalkeeper,5.7,8.0,5.0,4.67,0.0,0.0,0.0,0.0,0.62,0.67,0.38,0.33,0.0,0.0,0.0,0.0,0.6,0.51,0.0,1.22,inf,11.18,2025_2026
224,Marc Cucurella Saseta,Chelsea,Defender,6.1,8.0,4.38,5.0,0.0,0.0,0.25,0.33,0.38,0.33,1.0,1.33,0.03,0.01,0.14,0.21,1.36,2.19,0.24,1.22,25.42,2.79,2025_2026
681,Benjamin Sesko,Man Utd,Forward,7.3,8.0,3.0,6.0,0.25,0.67,0.0,0.0,0.12,0.33,1.0,1.33,0.2,0.4,0.02,0.01,1.0,1.49,0.21000000000000002,1.22,34.76,4.9,2025_2026
736,Gianluigi Donnarumma,Man City,Goalkeeper,5.7,8.0,4.2,4.67,0.0,0.0,0.0,0.0,0.6,0.67,0.4,0.33,0.0,0.0,0.0,0.0,0.9,0.68,0.0,1.22,inf,8.38,2025_2026
106,Nathan Collins,Brentford,Defender,4.9,8.0,3.38,4.0,0.0,0.0,0.0,0.0,0.25,0.33,1.5,0.67,0.03,0.04,0.05,0.11,1.26,1.08,0.14,1.23,35.0,4.54,2025_2026
37,Lucas Digne,Aston Villa,Defender,4.5,8.0,3.25,3.67,0.0,0.0,0.25,0.67,0.25,0.0,0.5,1.0,0.03,0.04,0.14,0.31,0.91,0.63,0.33999999999999997,1.23,13.24,7.14,2025_2026
684,Malick Thiaw,Newcastle,Defender,4.9,8.0,2.5,4.0,0.0,0.0,0.0,0.0,0.25,0.33,0.62,1.33,0.09,0.23,0.0,0.01,0.5,1.08,0.09999999999999999,1.23,49.0,4.54,2025_2026
648,Marshall Munetsi,Wolves,Midfielder,5.4,8.0,2.88,4.33,0.0,0.0,0.25,0.33,0.0,0.0,1.5,1.33,0.09,0.07,0.04,0.08,1.08,0.89,0.16999999999999998,1.25,31.76,6.07,2025_2026
733,Senne Lammens,Man Utd,Goalkeeper,5.0,8.0,2.4,4.0,0.0,0.0,0.0,0.0,0.2,0.33,0.2,0.33,0.0,0.0,0.0,0.0,0.69,1.15,0.0,1.25,inf,4.35,2025_2026
328,Ryan Sessegnon,Fulham,Midfielder,5.4,8.0,3.12,4.33,0.12,0.33,0.12,0.0,0.12,0.0,1.38,2.33,0.06,0.13,0.08,0.08,1.16,1.37,0.14,1.25,38.57,3.94,2025_2026
129,Yehor Yarmoliuk,Brentford,Midfielder,5.0,8.0,3.25,4.0,0.0,0.0,0.12,0.33,0.25,0.33,1.5,0.67,0.03,0.04,0.05,0.09,1.23,1.08,0.12,1.25,41.67,4.63,2025_2026
455,Mason Mount,Man Utd,Midfielder,5.9,8.0,2.62,4.67,0.12,0.33,0.0,0.0,0.38,0.67,0.38,0.33,0.06,0.11,0.06,0.03,0.52,0.49,0.09,1.26,65.56,12.04,2025_2026
403,Joško Gvardiol,Man City,Defender,5.9,7.0,3.0,4.67,0.0,0.0,0.12,0.33,0.25,0.33,0.25,0.33,0.01,0.03,0.03,0.08,0.46,0.41,0.09,1.26,65.56,14.39,2025_2026
582,Mohammed Kudus,Spurs,Midfielder,6.8,8.0,5.12,5.33,0.12,0.33,0.62,0.33,0.38,0.0,0.88,1.33,0.16,0.22,0.15,0.06,1.11,0.97,0.22,1.28,30.91,7.01,2025_2026
198,Axel Tuanzebe,Burnley,Defender,3.9,8.0,1.12,3.0,0.0,0.0,0.0,0.0,0.12,0.33,0.25,0.67,0.0,0.0,0.0,0.0,0.5,1.33,0.0,1.3,inf,2.93,2025_2026
236,Pedro Lomba Neto,Chelsea,Midfielder,7.0,8.0,4.0,5.33,0.25,0.33,0.12,0.33,0.38,0.33,0.62,0.67,0.1,0.08,0.21,0.26,0.98,1.55,0.36,1.31,19.44,4.52,2025_2026
145,Maxim De Cuyper,Brighton,Defender,4.4,8.0,1.88,3.33,0.12,0.33,0.0,0.0,0.0,0.0,0.75,0.33,0.09,0.23,0.07,0.03,0.7,0.58,0.12,1.32,36.67,7.59,2025_2026
173,Mats Wieffer,Brighton,Midfielder,4.9,8.0,2.38,3.67,0.0,0.0,0.25,0.67,0.0,0.0,0.62,0.67,0.02,0.04,0.07,0.16,0.55,0.81,0.18,1.34,27.22,6.05,2025_2026
7,Riccardo Calafiori,Arsenal,Defender,5.8,8.0,6.0,4.33,0.12,0.0,0.25,0.0,0.62,0.67,0.38,0.33,0.24,0.1,0.02,0.03,0.48,0.44,0.27,1.34,21.48,13.18,2025_2026
113,Sepp van den Berg,Brentford,Defender,4.5,8.0,3.25,3.33,0.0,0.0,0.0,0.0,0.25,0.33,1.5,0.67,0.12,0.25,0.01,0.02,1.26,1.08,0.13999999999999999,1.35,32.14,4.17,2025_2026
261,Chris Richards,Crystal Palace,Defender,4.5,8.0,4.5,3.33,0.0,0.0,0.0,0.0,0.38,0.0,1.0,2.0,0.05,0.04,0.1,0.24,1.36,2.07,0.29,1.35,15.52,2.17,2025_2026
643,André Trindade da Costa Neto,Wolves,Midfielder,5.4,8.0,2.62,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38,1.33,0.0,0.01,0.02,0.02,1.07,0.89,0.02,1.35,270.0,6.07,2025_2026
241,Moisés Caicedo Corozo,Chelsea,Midfielder,5.9,8.0,5.75,4.33,0.38,0.33,0.0,0.0,0.25,0.0,1.12,1.33,0.07,0.03,0.03,0.02,1.47,2.02,0.09000000000000001,1.36,65.56,2.92,2025_2026
271,Daichi Kamada,Crystal Palace,Midfielder,5.0,8.0,2.75,3.67,0.0,0.0,0.25,0.33,0.25,0.0,0.75,1.67,0.05,0.03,0.12,0.11,0.95,1.82,0.16,1.36,31.25,2.75,2025_2026
72,Marcos Senesi Barón,Bournemouth,Defender,5.0,8.0,6.0,3.67,0.0,0.0,0.25,0.33,0.38,0.0,1.38,2.0,0.02,0.01,0.14,0.32,1.31,2.29,0.34,1.36,14.71,2.18,2025_2026
303,James Garner,Everton,Midfielder,5.0,8.0,4.5,3.67,0.12,0.0,0.12,0.33,0.25,0.0,1.12,1.33,0.08,0.16,0.13,0.21,1.53,1.74,0.29,1.36,17.24,2.87,2025_2026
348,Joe Rodon,Leeds,Defender,4.1,8.0,3.88,3.0,0.12,0.33,0.0,0.0,0.25,0.0,1.62,2.0,0.05,0.14,0.01,0.02,1.04,0.6,0.07,1.37,58.57,6.83,2025_2026
20,Leandro Trossard,Arsenal,Midfielder,6.9,8.0,2.75,5.0,0.12,0.33,0.12,0.0,0.25,0.67,0.25,0.33,0.16,0.35,0.08,0.09,0.29,0.45,0.25,1.38,27.6,15.33,2025_2026
6,William Saliba,Arsenal,Defender,6.0,8.0,3.88,4.33,0.0,0.0,0.0,0.0,0.5,0.67,0.12,0.0,0.02,0.0,0.02,0.05,0.46,0.38,0.07,1.39,85.71,15.79,2025_2026
238,Estêvão Almeida de Oliveira Gonçalves,Chelsea,Midfielder,6.5,8.0,2.88,4.67,0.12,0.33,0.25,0.33,0.25,0.33,0.12,0.0,0.21,0.23,0.15,0.06,0.21,0.3,0.27,1.39,24.07,21.67,2025_2026
119,Bryan Mbeumo,Man Utd,Midfielder,8.0,8.0,4.5,5.67,0.25,0.33,0.12,0.33,0.25,0.33,1.38,1.33,0.29,0.16,0.22,0.18,1.51,1.73,0.47,1.41,17.02,4.62,2025_2026
390,Ryan Gravenberch,Liverpool,Midfielder,5.7,8.0,4.88,4.0,0.25,0.0,0.25,0.33,0.25,0.0,1.0,1.67,0.05,0.04,0.05,0.02,0.86,1.54,0.07,1.42,81.43,3.7,2025_2026
469,Nick Pope,Newcastle,Goalkeeper,5.2,8.0,5.38,3.67,0.0,0.0,0.12,0.0,0.62,0.33,0.88,1.33,0.0,0.0,0.0,0.0,0.74,1.08,0.0,1.42,inf,4.81,2025_2026
350,Brenden Aaronson,Leeds,Midfielder,5.4,8.0,2.62,3.67,0.0,0.0,0.25,0.67,0.12,0.0,0.75,1.33,0.13,0.29,0.13,0.08,0.62,0.5,0.21000000000000002,1.47,25.71,10.8,2025_2026
547,Enzo Le Fée,Sunderland,Midfielder,4.9,8.0,3.12,3.33,0.12,0.0,0.0,0.0,0.25,0.67,0.62,0.67,0.1,0.0,0.03,0.06,0.79,1.25,0.16,1.47,30.62,3.92,2025_2026
475,Sven Botman,Newcastle,Defender,4.9,8.0,3.38,3.33,0.0,0.0,0.0,0.0,0.38,0.33,0.5,1.33,0.02,0.04,0.03,0.08,0.55,1.08,0.1,1.47,49.0,4.54,2025_2026
491,Sandro Tonali,Newcastle,Midfielder,5.4,8.0,3.12,3.67,0.0,0.0,0.12,0.33,0.62,0.33,0.62,1.0,0.05,0.03,0.13,0.2,0.67,1.04,0.25,1.47,21.6,5.19,2025_2026
54,John McGinn,Aston Villa,Midfielder,5.4,8.0,2.88,3.67,0.12,0.33,0.0,0.0,0.38,0.33,0.75,0.67,0.08,0.18,0.12,0.17,1.12,0.53,0.25,1.47,21.6,10.19,2025_2026
603,El Hadji Malick Diouf,West Ham,Defender,4.4,8.0,3.38,3.0,0.0,0.0,0.5,0.33,0.12,0.0,2.12,1.33,0.02,0.0,0.1,0.04,1.51,1.45,0.06,1.47,73.33,3.03,2025_2026
299,Iliman Ndiaye,Everton,Midfielder,6.5,8.0,5.12,4.33,0.38,0.33,0.12,0.0,0.25,0.0,1.12,1.33,0.28,0.3,0.2,0.39,1.26,1.32,0.67,1.5,9.7,4.92,2025_2026
74,Adrien Truffert,Bournemouth,Defender,4.5,8.0,4.12,3.0,0.0,0.0,0.12,0.33,0.38,0.0,1.38,2.0,0.0,0.01,0.06,0.02,1.35,2.39,0.02,1.5,225.0,1.88,2025_2026
87,Ryan Christie,Bournemouth,Midfielder,5.0,8.0,1.62,3.33,0.12,0.33,0.12,0.33,0.0,0.0,0.5,1.33,0.1,0.24,0.01,0.01,0.57,1.44,0.11,1.5,45.45,3.47,2025_2026
384,Cody Gakpo,Liverpool,Midfielder,7.5,8.0,5.0,5.0,0.38,0.67,0.25,0.0,0.25,0.0,1.25,1.67,0.35,0.72,0.18,0.16,0.89,1.06,0.51,1.5,14.71,7.08,2025_2026
443,Luke Shaw,Man Utd,Defender,4.5,8.0,2.12,3.0,0.0,0.0,0.0,0.0,0.12,0.33,1.38,1.0,0.01,0.0,0.02,0.01,1.51,1.69,0.02,1.5,225.0,2.66,2025_2026
663,Jhon Arias,Wolves,Midfielder,5.2,8.0,2.0,3.33,0.0,0.0,0.0,0.0,0.12,0.33,0.88,0.67,0.08,0.14,0.04,0.06,0.7,0.87,0.14,1.56,37.14,5.98,2025_2026
210,Loum Tchaouna,Burnley,Midfielder,4.9,8.0,2.38,3.0,0.12,0.33,0.12,0.0,0.12,0.0,0.62,1.0,0.04,0.02,0.02,0.0,0.96,1.37,0.04,1.63,122.5,3.58,2025_2026
108,Kristoffer Ajer,Brentford,Defender,4.4,8.0,1.75,2.67,0.0,0.0,0.12,0.0,0.12,0.33,0.25,0.33,0.03,0.05,0.05,0.01,0.18,0.39,0.04,1.65,110.0,11.28,2025_2026
418,Jérémy Doku,Man City,Midfielder,6.6,8.0,3.75,4.0,0.0,0.0,0.5,0.67,0.38,0.0,0.25,0.33,0.12,0.23,0.19,0.16,0.52,0.4,0.28,1.65,23.57,16.5,2025_2026
698,Noah Okafor,Leeds,Midfielder,5.5,7.0,3.0,3.33,0.29,0.33,0.0,0.0,0.14,0.0,0.71,1.0,0.17,0.28,0.05,0.1,0.45,0.3,0.27,1.65,20.37,18.33,2025_2026
124,Jordan Henderson,Brentford,Midfielder,5.0,8.0,3.0,3.0,0.0,0.0,0.25,0.33,0.38,0.33,0.88,0.67,0.0,0.0,0.07,0.18,0.82,0.98,0.18,1.67,27.78,5.1,2025_2026
685,Bafodé Diakité,Bournemouth,Defender,4.5,8.0,3.62,2.67,0.0,0.0,0.0,0.0,0.38,0.0,1.25,2.0,0.0,0.0,0.01,0.01,1.27,2.39,0.01,1.69,450.0,1.88,2025_2026
67,Đorđe Petrović,Bournemouth,Goalkeeper,4.5,8.0,3.62,2.67,0.0,0.0,0.0,0.0,0.38,0.0,1.38,2.0,0.0,0.0,0.0,0.0,1.35,2.39,0.0,1.69,inf,1.88,2025_2026
444,Leny Yoro,Man Utd,Defender,4.5,8.0,2.62,2.67,0.0,0.0,0.12,0.0,0.12,0.33,1.0,0.33,0.04,0.01,0.0,0.0,0.88,0.34,0.04,1.69,112.5,13.24,2025_2026
158,Georginio Rutter,Brighton,Midfielder,5.7,8.0,2.88,3.33,0.0,0.0,0.38,0.33,0.25,0.33,0.5,0.33,0.05,0.08,0.09,0.21,0.69,0.82,0.26,1.71,21.92,6.95,2025_2026
77,James Hill,Bournemouth,Defender,4.0,8.0,2.12,2.33,0.0,0.0,0.0,0.0,0.25,0.33,0.38,0.33,0.02,0.0,0.02,0.05,0.39,0.72,0.07,1.72,57.14,5.56,2025_2026
191,Maxime Estève,Burnley,Defender,4.0,8.0,2.88,2.33,0.0,0.0,0.0,0.0,0.25,0.33,1.88,2.33,0.02,0.01,0.0,0.0,2.02,2.01,0.02,1.72,200.0,1.99,2025_2026
584,Mathys Tel,Spurs,Midfielder,6.3,8.0,2.0,3.67,0.12,0.33,0.0,0.0,0.12,0.0,0.25,0.67,0.02,0.04,0.01,0.02,0.27,0.51,0.04,1.72,157.5,12.35,2025_2026
419,Jack Grealish,Everton,Midfielder,6.9,7.0,4.62,4.0,0.12,0.33,0.5,0.0,0.25,0.0,0.88,0.67,0.11,0.15,0.24,0.07,1.1,0.94,0.18,1.72,38.33,7.34,2025_2026
